City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Dhidhdhoo,MV,6.88,73.1,81.81,76,36,10.4,scattered clouds
209,Mahanoro,MG,-19.9,48.8,70.29,87,35,3.24,light rain
210,Bangkal,PH,6.07,121.07,83.86,73,99,1.99,light rain
211,Alice Springs,AU,-23.7,133.88,69.8,52,40,9.17,scattered clouds
212,Taua,BR,-5.97,-40.3,82.58,48,0,14.18,clear sky
213,Parichhatgarh,IN,28.98,77.93,67.55,26,0,3.62,clear sky
214,Ibra,OM,22.69,58.53,66.56,23,0,6.49,clear sky
215,Hilo,US,19.73,-155.09,87.8,55,20,12.75,few clouds
216,Georgetown,MY,5.41,100.34,80.6,88,20,3.8,few clouds
217,Wonthaggi,AU,-38.6,145.59,53.01,93,100,12.17,overcast clouds
218,Mae Hong Son,TH,19.3,97.97,73.4,100,75,0.81,broken clouds
219,Boyuibe,BO,-20.42,-63.28,77.25,57,34,1.41,scattered clouds
220,San Cristobal,VE,7.77,-72.22,66.49,90,90,2.01,light rain
221,Birjand,IR,32.87,59.22,42.8,52,0,6.93,clear sky
222,Yajalon,MX,17.23,-92.33,67.05,99,100,1.16,moderate rain
223,Pandan,PH,14.05,124.17,86.25,66,100,1.3,overcast clouds
224,Kloulklubed,PW,7.04,134.26,84.2,74,75,14.07,broken clouds
225,Conde,BR,-7.26,-34.91,77.0,88,20,8.05,few clouds
226,Padang,ID,-0.95,100.35,81.84,71,100,2.17,overcast clouds
227,Kingaroy,AU,-26.53,151.83,69.8,77,90,10.29,light rain
228,Manzanillo,CU,20.34,-77.12,76.71,83,100,4.14,light rain
229,Maple Creek,CA,49.92,-109.48,16.93,93,100,10.11,overcast clouds
230,Norman Wells,CA,65.28,-126.83,28.4,100,75,2.24,broken clouds
231,Puerto Escondido,MX,15.85,-97.07,84.2,66,75,8.05,broken clouds
232,Eyl,SO,7.98,49.82,78.84,80,100,0.74,overcast clouds
233,Klaksvik,FO,62.23,-6.59,44.6,93,100,9.17,overcast clouds
234,Puerto Maldonado,PE,-12.6,-69.18,81.32,53,14,0.69,few clouds
235,Sao Filipe,CV,14.9,-24.5,80.31,77,83,11.99,broken clouds
236,Jalu,LY,29.03,21.55,64.2,79,0,11.95,clear sky
237,Hasaki,JP,35.73,140.83,63.0,77,75,8.05,shower rain
238,Lipno,PL,52.84,19.18,55.99,95,100,10.71,light rain
239,Roma,US,43.21,-75.46,69.8,64,1,8.05,clear sky
240,Severo-Kurilsk,RU,50.68,156.12,43.56,85,100,36.13,moderate rain
241,Shirokiy,RU,49.76,129.52,33.76,79,4,25.52,clear sky
