City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Puerto Cabezas,NI,78.19,overcast clouds,14.04,-83.39,Hotel Caribe
477,Neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
480,Dutlwe,BW,76.71,scattered clouds,-23.98,23.9,
482,Isangel,VU,80.6,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
497,Merauke,ID,86.7,scattered clouds,-8.47,140.33,
499,Alofi,NU,77.0,light intensity drizzle,-19.06,-169.92,Taloa Heights
502,Kingsville,US,82.4,clear sky,27.52,-97.86,Econo Lodge Kingsville
503,Kavaratti,IN,80.33,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
510,Kerema,PG,78.1,overcast clouds,-7.96,145.78,Elore Lodge
515,Atambua,ID,87.1,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
523,Fresno,US,78.8,smoke,36.67,-119.83,GPS 07
526,Neuquen,AR,77.0,clear sky,-38.95,-68.06,Hotel del Comahue
527,Mount Isa,AU,82.4,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
528,Qui Nhon,VN,75.63,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
531,Itacoatiara,BR,79.79,clear sky,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
533,Magdalena,PH,84.0,scattered clouds,14.2,121.43,Bahay Ni Luz Bed & Breakfast
536,Mango,US,79.0,overcast clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon - OPEN
544,Porbandar,IN,79.88,clear sky,21.64,69.61,Lords Inn Porbandar
550,Tadine,NC,78.3,scattered clouds,-21.55,167.88,
555,Ayorou,NE,85.93,clear sky,14.73,0.92,Hotel Amenokal
559,Satun,TH,78.8,broken clouds,6.83,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
560,Dicabisagan,PH,84.85,heavy intensity rain,17.08,122.42,Nancy Montanes Bernardo
561,Winslow,US,78.8,clear sky,35.02,-110.7,Best Western Plus Winslow Inn
562,Mogadishu,SO,80.01,overcast clouds,2.04,45.34,Hotel Juba
563,Simbahan,PH,83.32,overcast clouds,6.3,120.58,
566,Kirakira,SB,84.04,moderate rain,-10.45,161.92,SanBiz Lodge
568,Mwense,ZM,76.44,overcast clouds,-10.38,28.7,GrandPalm Lodge
570,Beruwala,LK,78.8,light rain,6.48,79.98,The Palms Hotel
571,Pyapon,MM,81.01,few clouds,16.28,95.68,Aung Naing Thu Motel
578,Borba,BR,76.15,broken clouds,-4.39,-59.59,Hotel da Amazônia
579,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
580,Dwarka,IN,81.32,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
581,Ixtapa,MX,87.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
582,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
585,Clarence Town,AU,75.0,light intensity shower rain,-32.58,151.78,River Downs Cottage
587,Praya,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
588,Tartagal,AR,83.68,overcast clouds,-22.52,-63.8,Almuñecar Hotel
